speed,acc_norm,engine_speed,throttle_position,delta_acc_lat,cluster_id
0.000000,8.911687,0.000000,17.647059,0.003000,2
0.000000,2.746719,704.000000,13.333333,0.049000,1
0.000000,2.030266,695.000000,13.333333,0.034000,1
0.000000,9.114705,0.000000,17.647059,6.132000,2
0.000000,8.914846,0.000000,17.647059,0.001000,2
0.000000,1.515577,1700.000000,19.215686,0.001000,3
0.000000,9.433796,1085.000000,14.901961,0.791000,2
0.000000,2.127040,0.000000,17.647059,0.019000,1
3.000000,1.523784,1301.000000,17.647059,0.041000,1
21.000000,4.995260,2990.000000,25.882353,1.754000,3
55.000000,1.016601,1288.250000,21.960784,0.131000,3
18.000000,1.484839,1451.000000,18.823529,1.928000,3
0.000000,4.154994,745.000000,13.725490,2.243000,1
0.000000,1.584314,777.000000,13.725490,0.012000,1
44.000000,1.213158,1748.000000,14.901961,0.176000,1
0.000000,1.923599,706.000000,13.333333,0.046000,1
0.000000,1.331454,755.000000,13.725490,0.095000,1
0.000000,2.994390,749.000000,13.725490,0.009000,1
19.000000,3.468286,1423.000000,17.254902,0.255000,1
0.000000,1.975633,701.000000,13.333333,0.006000,1
55.000000,0.604080,1882.000000,14.901961,1.057000,3
0.000000,0.634039,766.250000,16.470588,0.047000,1
36.000000,1.640934,1418.000000,14.117647,0.304000,1
0.000000,8.315310,1218.000000,14.901961,0.098000,2
0.000000,7.666508,0.000000,17.647059,0.194000,2
0.000000,1.636675,694.000000,13.333333,0.006000,1
0.000000,8.965213,0.000000,15.294118,0.001000,2
0.000000,1.295337,700.000000,13.333333,0.467000,1
46.000000,1.482064,1841.000000,16.470588,0.070000,3
0.000000,1.401841,720.000000,13.333333,0.006000,1
31.000000,2.610596,1324.000000,16.862745,0.023000,3
41.000000,1.083275,1289.000000,16.862745,0.068000,3
15.000000,1.856971,1123.000000,16.078431,0.159000,1
33.000000,3.516238,2252.000000,15.294118,0.759000,1
49.000000,1.369920,2582.000000,20.784314,0.038000,3
15.000000,0.085376,768.000000,13.725490,0.084000,1
0.000000,6.091718,706.000000,13.333333,0.653000,1
0.000000,1.553448,742.000000,13.725490,0.008000,1
8.000000,2.151195,892.000000,18.039216,1.964000,1
0.000000,1.979816,694.000000,13.333333,0.024000,1
0.000000,3.903761,0.000000,17.647059,4.892000,2
13.000000,1.409404,779.000000,13.725490,0.100000,1
0.000000,1.297325,743.000000,13.725490,0.034000,1
0.000000,1.563852,766.000000,13.725490,0.016000,1
0.000000,8.932335,0.000000,17.647059,0.003000,2
0.000000,1.999122,755.000000,13.725490,0.016000,1
0.000000,0.970795,763.000000,14.117647,0.014000,1
0.000000,7.165016,707.000000,13.333333,13.980000,2
23.000000,3.454412,1694.000000,20.000000,1.592000,3
38.000000,1.214621,2015.000000,18.823529,0.031000,3
0.000000,1.976407,1475.000000,14.901961,0.045000,1
0.000000,3.037424,692.000000,13.333333,0.008000,1
0.000000,1.581526,783.000000,13.725490,0.032000,1
0.000000,2.731495,753.000000,13.725490,0.018000,1
0.000000,1.190014,2004.000000,17.647059,0.054000,1
0.000000,2.364382,746.000000,13.725490,0.016000,1
13.000000,4.884492,1930.000000,21.176471,0.510000,3
18.000000,3.050268,1228.000000,13.725490,0.507000,1
0.000000,1.467499,1155.000000,13.725490,0.031000,1
58.000000,1.778205,2322.000000,15.686275,0.021000,3
0.000000,1.568618,700.000000,13.333333,0.034000,1
14.000000,1.379905,1026.000000,17.254902,0.129000,1
24.000000,2.095415,1790.000000,20.000000,0.641000,3
0.000000,2.938087,0.000000,17.647059,1.000000,1
27.000000,4.525908,2037.000000,24.313725,0.941000,3
0.000000,0.999434,0.000000,17.647059,0.069000,1
0.000000,1.627517,695.000000,13.333333,0.005000,1
7.000000,1.614222,801.500000,14.901961,0.371000,1
0.000000,2.829328,702.000000,13.333333,0.001000,1
0.000000,8.880422,715.000000,13.333333,0.018000,2
2.000000,2.165447,1207.000000,16.470588,0.042000,1
17.000000,3.531242,1308.000000,14.117647,0.409000,1
0.000000,8.907379,0.000000,17.647059,0.010000,2
0.000000,1.631879,0.000000,17.647059,8.944000,1
10.000000,1.646474,557.750000,15.686275,0.252000,1
0.000000,8.914336,0.000000,17.647059,0.006000,2
36.000000,1.715358,1588.250000,20.392157,2.273000,3
0.000000,1.547590,707.000000,13.333333,0.024000,1
0.000000,1.863181,708.000000,13.725490,1.277000,1
0.000000,8.921992,0.000000,17.647059,0.006000,2
0.000000,2.388649,758.000000,14.117647,0.018000,1
39.000000,1.618168,1568.000000,17.254902,0.031000,3
0.000000,1.391720,853.000000,14.117647,0.004000,1
0.000000,1.299926,0.000000,17.647059,0.248000,1
25.000000,4.952834,1891.000000,23.921569,1.086000,3
45.000000,1.594152,2359.000000,15.686275,0.294000,1
30.000000,2.809194,781.000000,14.117647,0.591000,1
0.000000,0.934345,0.000000,17.647059,4.332000,1
0.000000,8.954740,0.000000,15.294118,0.009000,2
