speed,acc_norm,engine_speed,throttle_position,delta_acc_lat,cluster_id
0.633333,0.214142,0.254700,0.227451,0.131333,3
0.258333,0.522119,0.132400,0.168627,0.007667,3
0.000000,1.791645,0.000000,0.176471,0.000333,2
0.000000,1.375847,0.000000,0.176471,1.155667,2
0.000000,0.308781,0.074700,0.137255,0.002000,1
0.225000,0.555951,0.141500,0.141176,0.146333,1
0.000000,0.473603,0.078000,0.145098,0.078000,1
0.000000,0.528181,0.070700,0.133333,0.010000,1
0.000000,0.186869,0.000000,0.176471,1.444000,1
0.350000,0.290837,0.215800,0.152941,0.040333,1
0.000000,0.843071,0.000000,0.176471,0.002667,2
0.000000,1.781507,0.000000,0.176471,0.010000,2
0.233333,0.347882,0.146700,0.145098,0.106667,1
0.000000,1.780519,0.000000,0.176471,0.000667,2
0.000000,0.246911,0.069400,0.133333,0.006000,1
0.000000,0.759497,0.069400,0.133333,0.006000,1
0.116667,0.363695,0.194300,0.184314,0.084000,3
0.316667,0.522453,0.286000,0.164706,0.184333,3
0.000000,1.776823,0.070400,0.133333,0.011667,2
0.000000,0.263009,0.070900,0.133333,0.006333,1
0.166667,0.543267,0.146100,0.145098,0.321667,1
0.000000,1.783397,0.000000,0.176471,0.000000,2
0.233333,0.544014,0.105625,0.160784,0.592000,1
0.133333,0.071443,0.086900,0.141176,0.014667,1
0.000000,0.184203,0.000000,0.176471,0.001667,1
0.366667,0.125408,0.175200,0.149020,0.320333,1
0.000000,0.182070,0.127600,0.156863,0.015333,1
0.000000,1.694390,0.000000,0.176471,0.000667,2
0.025000,0.540699,0.075300,0.141176,0.026667,1
0.000000,1.789760,0.000000,0.176471,0.000000,2
0.283333,0.505396,0.175800,0.164706,0.242000,3
0.000000,0.508473,0.070800,0.133333,0.011333,1
0.000000,0.659714,0.090300,0.168627,0.031333,1
0.000000,1.943785,0.000000,0.176471,1.203000,2
0.400000,0.826769,0.364900,0.458824,0.247667,3
0.000000,1.744947,0.071300,0.133333,1.144667,2
0.000000,0.282297,0.188300,0.188235,0.106333,3
0.000000,1.778082,0.000000,0.176471,0.001333,2
0.366667,0.372515,0.109825,0.160784,0.566000,3
0.058333,0.317805,0.062175,0.172549,0.098333,1
0.000000,1.777487,0.000000,0.176471,0.002333,2
0.000000,0.070693,0.075300,0.137255,0.435000,1
0.000000,0.477730,0.075800,0.141176,0.006000,1
0.000000,0.126850,0.102100,0.172549,0.005333,1
0.000000,0.549209,0.075200,0.137255,0.003667,1
0.000000,1.789466,0.000000,0.176471,0.004000,2
0.158333,0.693657,0.142300,0.172549,0.085000,1
0.000000,0.263620,0.074600,0.137255,0.008333,1
0.000000,0.316863,0.077700,0.137255,0.004000,1
0.000000,1.785033,0.000000,0.176471,0.000667,2
0.000000,0.228476,0.085300,0.152941,0.204333,1
0.025000,0.298673,0.082800,0.168627,0.006000,1
0.000000,0.332719,0.125000,0.145098,0.003333,1
0.300000,0.467367,0.271400,0.247059,0.101667,3
0.000000,1.774727,0.070100,0.133333,0.002667,2
0.000000,1.784142,0.000000,0.176471,0.000333,2
0.283333,0.186747,0.179500,0.211765,0.058000,3
0.133333,0.697483,0.073300,0.137255,0.055333,1
0.000000,0.620602,0.068900,0.133333,0.003000,1
0.000000,0.365962,0.075500,0.137255,0.002333,1
0.000000,0.766414,0.119700,0.141176,0.023000,1
0.258333,0.318274,0.163300,0.145098,0.031000,1
0.000000,1.776084,0.071500,0.133333,0.006000,2
0.000000,0.511485,0.070300,0.133333,0.106333,1
0.000000,0.624631,0.071000,0.133333,0.015333,1
