speed,acc_norm,engine_speed,throttle_position,delta_acc_lat,cluster_id
0,9.59628329094134,0.0,17.6470588235294,0.0,2
0,0.0,0.0,17.6470588235294,0.422,1
0,0.0,0.0,17.6470588235294,0.0,1
0,9.71892262547655,0.0,17.6470588235294,3.609,2
0,0.0,0.0,17.6470588235294,3.609,1
0,0.0,0.0,17.6470588235294,0.0,1
0,0.0,0.0,17.6470588235294,0.0,1
0,0.0,0.0,17.6470588235294,0.0,1
0,3.14784052963297,0.0,17.6470588235294,3.08,1
0,3.11742987090327,0.0,17.6470588235294,0.0169999999999999,1
0,7.96045733610827,0.0,17.6470588235294,5.247,2
0,7.44677279094777,0.0,17.6470588235294,9.325,2
0,5.23990009446745,0.0,17.6470588235294,4.504,2
0,5.90717868360184,0.0,17.6470588235294,7.291,2
0,8.08457475690589,932.0,14.5098039215686,11.704,2
0,7.91302072536146,722.0,13.7254901960784,0.754,2
0,5.67683758795335,699.0,13.7254901960784,2.291,1
0,2.55540701259114,696.0,13.7254901960784,5.044,1
0,2.56108277882617,705.0,13.7254901960784,0.03,1
0,2.57579230529171,691.0,13.7254901960784,0.01,1
0,2.55742370365178,698.0,13.7254901960784,0.011,1
0,2.59136122530225,700.0,13.7254901960784,0.008,1
0,2.57652188036508,700.0,13.7254901960784,0.004,1
0,2.57488193904109,699.0,13.7254901960784,0.008,1
0,2.58043581590397,689.0,13.7254901960784,0.008,1
0,2.56401111542052,694.0,13.7254901960784,0.001,1
0,2.55097883174283,704.0,13.7254901960784,0.011,1
0,2.5686948047598,704.0,13.7254901960784,0.01,1
0,2.56333883831225,704.0,13.7254901960784,0.007,1
0,2.57015369190249,704.0,13.7254901960784,0.014,1
0,2.56016659614174,702.0,13.7254901960784,0.001,1
0,2.55388038091059,700.0,13.7254901960784,0.002,1
0,2.57092201359746,706.0,13.7254901960784,0.002,1
0,4.74115228610092,698.0,13.3333333333333,0.576,1
0,2.63310994833106,704.0,13.3333333333333,0.84,1
0,6.07336957544986,701.0,13.3333333333333,5.095,1
0,3.53197409390273,699.0,13.3333333333333,7.001,1
0,6.09171782012266,706.0,13.3333333333333,0.653,1
0,9.41663007662508,703.0,13.3333333333333,1.89,2
0,8.72473409336926,713.0,13.3333333333333,3.434,2
0,7.29844312165273,704.0,13.3333333333333,5.661,2
0,6.53531705428283,708.0,13.3333333333333,1.617,2
0,2.315614173389,0.0,17.6470588235294,5.027,1
0,0.0,0.0,17.6470588235294,0.11,1
0,1.96100917896883,0.0,17.6470588235294,0.006,1
0,2.12703972694447,0.0,17.6470588235294,0.019,1
0,2.07631211526591,0.0,17.6470588235294,0.023,1
0,2.04174092381967,0.0,17.6470588235294,0.019,1
0,2.01025421278007,0.0,17.6470588235294,0.016,1
0,1.976407093693,1475.0,14.9019607843137,0.045,1
0,1.89897998936271,860.0,14.1176470588235,0.055,1
0,1.89011798573528,709.0,13.7254901960784,0.004,1
0,1.8637931752209,1458.0,15.2941176470588,0.037,1
0,1.81957467557669,1651.0,14.1176470588235,0.012,1
0,1.7769299367167,1016.0,14.5098039215686,0.012,1
0,1.75021284419924,762.0,14.1176470588235,0.004,1
0,1.75311180476318,698.0,13.7254901960784,0.014,1
